"","fnb_ipi","fnb_ipi_SA","fnb_ipi_growth","fnb_ipi_growth_SA"
"1",66.08,58.8882076520129,4.29292929292929,-4.43376191903192
"2",52.27,59.312708166729,-20.8989104116223,-0.36127635093068
"3",62.5,60.3702628153503,19.5714559020471,3.50334674786979
"4",58.35,61.2617624303966,-6.64,1.6992546922825
"5",60.93,62.3431485445575,4.42159383033419,2.32827260108882
"6",62.86,63.9351392985605,3.16756934186772,3.15149052206999
"7",60.57,60.0791198125663,-3.64301622653516,-5.8637164551171
"8",62.72,61.8866844418842,3.54961201915139,3.51518643386255
"9",63.86,62.8308611391819,1.81760204081633,1.73886086828339
"10",65.15,64.7765054897277,2.02004384591294,3.5886548929977
"11",62.22,62.388568035194,-4.49731389102073,-3.13282113546362
"12",65.58,63.2900763766909,5.40019286403086,1.82899320685198
"13",65.51,59.5915068095891,-0.106739859713317,-5.7984556379786
"14",52.98,60.9166201128022,-19.1268508624638,0.504289021376504
"15",60.93,59.3362704379063,15.0056625141563,-1.140868590971
"16",57.35,60.383487407585,-5.87559494501887,1.55910013952358
"17",62.5,63.7743639320871,8.97994768962511,6.52100668381104
"18",66.08,66.7041387265401,5.728,5.22132787500818
"19",62.5,61.575039751436,-5.41767554479419,-7.40422200373481
"20",69.31,68.0882198044074,10.896,10.8141680006609
"21",68.02,66.6922655013032,-1.86120328956861,-1.77852689074208
"22",66.87,66.1980031951979,-1.69067921199646,-0.174851567116427
"23",69.59,69.4483543014764,4.06759383879168,5.33376183053739
"24",70.31,67.771843501365,1.03463141255927,-2.28561515177723
"25",73.89,69.2169631201362,5.09173659507893,1.54371329398055
"26",63.01,71.8186596758601,-14.72459060766,4.01005317099522
"27",74.68,73.6063761414608,18.5208697032217,2.30309759387869
"28",68.66,71.8090094248546,-8.06106052490628,-1.52656122630165
"29",69.52,70.6590753187803,1.25254879114477,-1.57363837586999
"30",68.73,68.9177229128313,-1.13636363636362,-2.14124565761577
"31",73.46,72.1266332077655,6.88200203695619,5.11293482255748
"32",75.75,74.1752118617796,3.11734277157638,2.96237189905447
"33",72.89,71.3089097356626,-3.77557755775577,-3.56804884126712
"34",72.81,71.8902903044125,-0.109754424475234,1.30589176993799
"35",73.46,73.0644795030093,0.892734514489756,2.00410884194977
"36",72.39,69.6586303094901,-1.45657500680642,-4.59140823098704
"37",86.2,82.1144534532725,19.0772206105816,17.6040300212439
"38",63.79,73.1734082284302,-25.9976798143852,-7.90885200313783
"39",75.32,74.3438426567638,18.0749333751372,1.61730193211495
"40",75.18,78.5460744813626,-0.185873605947937,6.17405842680399
"41",75.53,76.6402467243422,0.465549348230905,-2.57392653370849
"42",75.46,75.6773444912487,-0.0926784059314278,-1.03343588207496
"43",78.9,77.1284505040841,4.55870659952294,2.29817292231172
"44",77.97,76.2091513370339,-1.17870722433461,-1.04359373214387
"45",76.89,75.101247804978,-1.38514813389765,-1.1189872702491
"46",78.26,76.8910974067175,1.78176615944857,2.82107826003057
"47",78.83,78.3175105154848,0.728341426015836,2.18287019495548
"48",83.2,80.7821397570869,5.54357478117469,3.19458102099322
"49",72.24,68.6854154414723,-13.1730769230769,-14.8038573924777
"50",65.58,75.4879928887751,-9.21926910299003,8.31275959285797
"51",72.81,71.8875097325529,11.0247026532479,-5.58625292120254
"52",70.17,73.7205398243287,-3.62587556654306,2.64354275284935
"53",72.53,73.5900181423341,3.36326065270058,0.183045282617579
"54",73.67,73.9079453213972,1.57176340824487,0.75617537827882
"55",76.82,74.6136262914348,4.2758246233202,1.56852099513429
"56",72.96,71.0268444224668,-5.02473314241083,-4.57118716290068
"57",77.04,75.0677346036183,5.59210526315791,5.92754223862668
"58",76.32,74.5321281014163,-0.934579439252353,-0.278661625787662
"59",74.1,73.5068399834229,-2.90880503144654,-1.1331023689652
"60",78.04,75.9724675451651,5.31713900134954,3.71708380257744
"61",77.9,74.3198974395464,-0.179395181957971,-2.0135513907938
"62",66.94,77.3990967856066,-14.0693196405648,3.5424662998168
"63",80.4,79.5234037528582,20.1075590080669,3.22446613635493
"64",74.39,77.8489670286994,-7.47512437810946,-1.53178350235987
"65",76.61,77.6892386270067,2.98427207958059,0.0630599432365031
"66",81.26,81.4153536197686,6.06970369403473,5.2159702726115
"67",82.62,80.0282610497025,1.67364016736402,-1.41154895252519
"68",81.12,79.3035700109525,-1.81554103122731,-0.631388957015674
"69",79.97,77.8981129403896,-1.41765285996056,-1.34547456629993
"70",80.05,77.7263419300275,0.100037514067773,0.169785338827583
"71",78.54,78.1903462915575,-1.88632104934415,0.730997109921693
"72",81.12,79.6076674833858,3.28495034377387,2.14057054892277
"73",83.34,79.6857591284797,2.73668639053254,0.212925381220132
"74",63.87,74.8344360513503,-23.3621310295176,-5.65252982768651
"75",82.24,81.3663888201289,28.7615468921246,11.6278902920284
"76",75.1,78.4310126857213,-8.68190661478599,-3.03955406184053
"77",78.79,79.8586049700164,4.91344873501999,2.27674734743145
"78",79.57,79.6212516650903,0.989973346871414,0.124020443185554
"79",83.65,80.6597294435337,5.12756063843159,1.68868183925301
"80",84.58,82.8751483190895,1.11177525403466,3.04899913858106
"81",86.39,84.2213630809,2.13998581224876,1.9683290487338
"82",84.41,81.559491255668,-2.29193193656674,-2.79197256687999
