"","clothes","clothes_SA","clothes_rate","clothes_rate_SA"
"1",104.09,104.09,-3.60698245126638,-3.60698245126638
"2",69.932,69.932,-32.8158324526852,-32.8158324526852
"3",70.692,70.692,1.08677000514784,1.08677000514784
"4",62.043,62.043,-12.2347648956035,-12.2347648956035
"5",73.169,73.169,17.9327240784617,17.9327240784617
"6",80.162,80.162,9.55732619005318,9.55732619005318
"7",79.827,79.827,-0.417903744916554,-0.417903744916554
"8",63.489,63.489,-20.4667593671314,-20.4667593671314
"9",66.845,66.845,5.28595504733104,5.28595504733104
"10",74.544,74.544,11.5176901787718,11.5176901787718
"11",71.976,71.976,-3.44494526722472,-3.44494526722472
"12",121.103,121.103,68.254696009781,68.254696009781
"13",123.763,123.763,2.19647737876024,2.19647737876024
"14",69.818,69.818,-43.5873403198048,-43.5873403198048
"15",74.909,74.909,7.29181586410382,7.29181586410382
"16",77.819,77.819,3.88471345232215,3.88471345232215
"17",78.133,78.133,0.403500430486119,0.403500430486119
"18",87.73,87.73,12.2829022308116,12.2829022308116
"19",89.291,89.291,1.77932292260343,1.77932292260343
"20",74.385,74.385,-16.6937317310815,-16.6937317310815
"21",72.963,72.963,-1.91167574107685,-1.91167574107685
"22",74.162,74.162,1.64329865822405,1.64329865822405
"23",81.391,81.391,9.74757962298751,9.74757962298751
"24",116.637,116.637,43.3045422712585,43.3045422712585
"25",111.917,111.917,-4.0467433147286,-4.0467433147286
"26",96.074,96.074,-14.1560263409491,-14.1560263409491
"27",86.787,86.787,-9.66650706746882,-9.66650706746882
"28",81.593,81.593,-5.98476730385888,-5.98476730385888
"29",88.634,88.634,8.62941673918105,8.62941673918105
"30",100.7,100.7,13.6132860978857,13.6132860978857
"31",94.267,94.267,-6.38828202581927,-6.38828202581927
"32",80.132,80.132,-14.994642876086,-14.994642876086
"33",83.607,83.607,4.33659461887884,4.33659461887884
"34",90.762,90.762,8.55789586996304,8.55789586996304
"35",95.163,95.163,4.84894559397104,4.84894559397104
"36",131.993,131.993,38.7020165400418,38.7020165400418
"37",126.283,126.283,-4.32598698415825,-4.32598698415825
"38",88.306,88.306,-30.0729314317842,-30.0729314317842
"39",95.556,95.556,8.21008764976332,8.21008764976332
"40",79.974,79.974,-16.3066683410775,-16.3066683410775
"41",95.167,95.167,18.9974241628529,18.9974241628529
"42",101.708,101.708,6.87318082948921,6.87318082948921
"43",96.679,96.679,-4.9445471349353,-4.9445471349353
"44",89.298,89.298,-7.63454317897372,-7.63454317897372
"45",85.545,85.545,-4.20278169723846,-4.20278169723846
"46",80.128,80.128,-6.33233970424923,-6.33233970424923
"47",87.551,87.551,9.26392771565495,9.26392771565495
"48",125.601,125.601,43.4603830909984,43.4603830909984
"49",120.888,120.888,-3.75235865956481,-3.75235865956481
"50",69.64,69.64,-42.3929587717557,-42.3929587717557
"51",81.405,81.405,16.8940264215968,16.8940264215968
"52",75.013,75.013,-7.85209753700632,-7.85209753700632
"53",86.519,86.519,15.3386746297308,15.3386746297308
"54",98.012,98.012,13.2837873761833,13.2837873761833
"55",95.144,95.144,-2.92617230543198,-2.92617230543198
"56",90.442,90.442,-4.94198267888675,-4.94198267888675
"57",85.471,85.471,-5.49634019592666,-5.49634019592666
"58",85.068,85.068,-0.471504954896989,-0.471504954896989
"59",90.585,90.585,6.48539991536182,6.48539991536182
"60",126.834,126.834,40.0165590329525,40.0165590329525
"61",120.602,120.602,-4.91350899601053,-4.91350899601053
"62",105.643,105.643,-12.4036085637054,-12.4036085637054
"63",84.742,84.742,-19.7845574245336,-19.7845574245336
"64",84.788,84.788,0.054282410139001,0.054282410139001
"65",93.941,93.941,10.7951596924093,10.7951596924093
"66",97.958,97.958,4.27608818300848,4.27608818300848
"67",103.502,103.502,5.65956838645133,5.65956838645133
"68",87.668,87.668,-15.2982551061815,-15.2982551061815
"69",87.573,87.573,-0.108363370899317,-0.108363370899317
"70",95.646,95.646,9.21859477236135,9.21859477236135
"71",103.759,103.759,8.48232022248709,8.48232022248709
"72",147.52,147.52,42.1756185005638,42.1756185005638
"73",144.254,144.254,-2.2139370932755,-2.2139370932755
"74",90.258,90.258,-37.431197748416,-37.431197748416
"75",90.337,90.337,0.0875268674245028,0.0875268674245028
"76",94.193,94.193,4.26846142776492,4.26846142776492
"77",98.15,98.15,4.20094911511472,4.20094911511472
"78",109.568,109.568,11.6332144676515,11.6332144676515
"79",113.126,113.126,3.24729848130842,3.24729848130842
"80",97.673,97.673,-13.659989745947,-13.659989745947
"81",90.172,90.172,-7.67970677669367,-7.67970677669367
"82",99.754,99.754,10.6263585148383,10.6263585148383
"83",102.357,102.357,2.60941917116105,2.60941917116105
"84",156.731,156.731,53.1219164297508,53.1219164297508
"85",145.676,145.676,-7.05348654701368,-7.05348654701368
"86",91.814,91.814,-36.9738323402619,-36.9738323402619
"87",95.552,95.552,4.07127453329559,4.07127453329559
"88",94.849,94.849,-0.73572505023443,-0.73572505023443
"89",97.803,97.803,3.11442397916688,3.11442397916688
"90",110.32,110.32,12.7981759250739,12.7981759250739
"91",109.22,109.22,-0.997099347353149,-0.997099347353149
"92",102.874,102.874,-5.81029115546604,-5.81029115546604
"93",91.567,91.567,-10.9911153449851,-10.9911153449851
"94",99.429,99.429,8.58606266449705,8.58606266449705
"95",106.781,106.781,7.39422100192097,7.39422100192097
"96",149.888,149.888,40.3695413978142,40.3695413978142
"97",132.209,132.209,-11.7948067890692,-11.7948067890692
"98",113.097,113.097,-14.4558993714498,-14.4558993714498
"99",95.616,95.616,-15.4566434122921,-15.4566434122921
"100",92.151,92.151,-3.62387048192771,-3.62387048192771
"101",97.238,97.238,5.52028735445085,5.52028735445085
"102",110.551,110.551,13.6911495505872,13.6911495505872
"103",106.555,106.555,-3.61462130600356,-3.61462130600356
"104",103.831,103.831,-2.55642625873962,-2.55642625873962
"105",91.927,91.927,-11.4647841203494,-11.4647841203494
"106",99.151,99.151,7.85840939005949,7.85840939005949
"107",105.128,105.128,6.02817924176257,6.02817924176257
"108",151.457,151.457,44.0691347690435,44.0691347690435
"109",138.255,138.255,-8.71666545620209,-8.71666545620209
"110",98.217,98.217,-28.9595313008571,-28.9595313008571
"111",97.379,97.379,-0.853212783937601,-0.853212783937601
"112",91.267,91.267,-6.27650725515769,-6.27650725515769
"113",97.127,97.127,6.42072161898605,6.42072161898605
"114",106.192,106.192,9.33314114509868,9.33314114509868
"115",102.323,102.323,-3.64340063281603,-3.64340063281603
"116",96.504,96.504,-5.6868934648124,-5.6868934648124
"117",91.477,91.477,-5.20911050319158,-5.20911050319158
"118",97.861,97.861,6.97880341506608,6.97880341506608
"119",104.353,104.353,6.63389910178722,6.63389910178722
"120",146.134,146.134,40.0381397755695,40.0381397755695
"121",119.797,119.797,-18.0224998973545,-18.0224998973545
"122",118.517,118.517,-1.06847416880222,-1.06847416880222
"123",91.672,91.672,-22.6507589628492,-22.6507589628492
"124",89.073,89.073,-2.83510777554761,-2.83510777554761
"125",96.665,96.665,8.52334601955701,8.52334601955701
"126",101.448,101.448,4.94801634510938,4.94801634510938
"127",99.754,99.754,-1.66982099203532,-1.66982099203532
"128",99.714,99.714,-0.0400986426609522,-0.0400986426609522
"129",83.162,83.162,-16.5994744970616,-16.5994744970616
"130",95.122,95.122,14.381568504846,14.381568504846
"131",102.602,102.602,7.86358571098169,7.86358571098169
"132",139.832,139.832,36.2858423812401,36.2858423812401
"133",120.037,120.037,-14.1562732421763,-14.1562732421763
"134",101.151,101.151,-15.733482176329,-15.733482176329
"135",88.658,88.658,-12.3508418107582,-12.3508418107582
"136",85.38,85.38,-3.69735387669472,-3.69735387669472
