"","population","population_SA","population_growth","population_growth_SA"
"1",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"2",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"3",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"4",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"5",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"6",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"7",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"8",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"9",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"10",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"11",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"12",355480.166666667,355480.166666667,0.195875940714321,0.195875940714321
"13",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"14",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"15",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"16",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"17",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"18",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"19",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"20",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"21",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"22",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"23",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"24",366780.416666667,366780.416666667,0.260782429672948,0.260782429672948
"25",382383.25,382383.25,0.347166905300772,0.347166905300772
"26",382383.25,382383.25,0.347166905300772,0.347166905300772
"27",382383.25,382383.25,0.347166905300772,0.347166905300772
"28",382383.25,382383.25,0.347166905300772,0.347166905300772
"29",382383.25,382383.25,0.347166905300772,0.347166905300772
"30",382383.25,382383.25,0.347166905300772,0.347166905300772
"31",382383.25,382383.25,0.347166905300772,0.347166905300772
"32",382383.25,382383.25,0.347166905300772,0.347166905300772
"33",382383.25,382383.25,0.347166905300772,0.347166905300772
"34",382383.25,382383.25,0.347166905300772,0.347166905300772
"35",382383.25,382383.25,0.347166905300772,0.347166905300772
"36",382383.25,382383.25,0.347166905300772,0.347166905300772
"37",403283,403283,0.443459756918855,0.443459756918855
"38",403283,403283,0.443459756918855,0.443459756918855
"39",403283,403283,0.443459756918855,0.443459756918855
"40",403283,403283,0.443459756918855,0.443459756918855
"41",403283,403283,0.443459756918855,0.443459756918855
"42",403283,403283,0.443459756918855,0.443459756918855
"43",403283,403283,0.443459756918855,0.443459756918855
"44",403283,403283,0.443459756918855,0.443459756918855
"45",403283,403283,0.443459756918855,0.443459756918855
"46",403283,403283,0.443459756918855,0.443459756918855
"47",403283,403283,0.443459756918855,0.443459756918855
"48",403283,403283,0.443459756918855,0.443459756918855
"49",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"50",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"51",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"52",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"53",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"54",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"55",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"56",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"57",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"58",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"59",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"60",415631.083333333,415631.083333333,0.251329159563151,0.251329159563151
"61",423061,423061,0.147652739938678,0.147652739938678
"62",423061,423061,0.147652739938678,0.147652739938678
"63",423061,423061,0.147652739938678,0.147652739938678
"64",423061,423061,0.147652739938678,0.147652739938678
"65",423061,423061,0.147652739938678,0.147652739938678
"66",423061,423061,0.147652739938678,0.147652739938678
"67",423061,423061,0.147652739938678,0.147652739938678
"68",423061,423061,0.147652739938678,0.147652739938678
"69",423061,423061,0.147652739938678,0.147652739938678
"70",423061,423061,0.147652739938678,0.147652739938678
"71",423061,423061,0.147652739938678,0.147652739938678
"72",423061,423061,0.147652739938678,0.147652739938678
"73",431974,431974,0.173741871338336,0.173741871338336
"74",431974,431974,0.173741871338336,0.173741871338336
"75",431974,431974,0.173741871338336,0.173741871338336
"76",431974,431974,0.173741871338336,0.173741871338336
"77",431974,431974,0.173741871338336,0.173741871338336
"78",431974,431974,0.173741871338336,0.173741871338336
"79",431974,431974,0.173741871338336,0.173741871338336
"80",431974,431974,0.173741871338336,0.173741871338336
"81",431974,431974,0.173741871338336,0.173741871338336
"82",431974,431974,0.173741871338336,0.173741871338336
"83",431974,431974,0.173741871338336,0.173741871338336
"84",431974,431974,0.173741871338336,0.173741871338336
"85",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"86",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"87",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"88",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"89",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"90",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"91",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"92",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"93",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"94",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
