"","rsi","rsi_SA","rsi_rate","rsi_rate_SA"
"1",97.843,82.608,-2.03552404982178,1.2613540249329
"2",72.342,82.087,-26.0631828541643,-0.630689521595972
"3",81.555,83.123,12.7353404661193,1.2620756027142
"4",80.149,86.408,-1.7239899454356,3.95197478435571
"5",84.597,85.682,5.54966375126326,-0.840199981483195
"6",82.117,83.546,-2.93154603591143,-2.49293900702597
"7",83.04,84.438,1.12400599145122,1.06767529265314
"8",81.224,85.453,-2.1868978805395,1.20206542078211
"9",82.688,87.495,1.80242292918349,2.38961768457515
"10",84.979,85.519,2.77065595975232,-2.25841476655809
"11",83.376,86.08,-1.88634839195565,0.655994574305117
"12",105.844,87.076,26.9478027250048,1.15706319702602
"13",94.435,88.057,-10.7790710857488,1.12660204878498
"14",87.821,90.125,-7.00375919944936,2.34847882621484
"15",88.582,90.203,0.866535338928042,0.0865464632454957
"16",84.886,91.146,-4.1724052290533,1.04541977539549
"17",91.399,91.953,7.67264330985087,0.885392666710555
"18",98.914,100.759,8.22219061477697,9.57663154002588
"19",88.686,90.293,-10.3402956103282,-10.3871614446352
"20",86.616,91.189,-2.33407753196672,0.992324986433042
"21",88.318,92.81,1.96499492010714,1.77762668742942
"22",90.706,91.79,2.70386557666614,-1.09901950220881
"23",90.359,93.403,-0.382554627036809,1.75727203399063
"24",111.257,91.959,23.1277459909915,-1.54598888686659
"25",104.155,93.677,-6.38341857141573,1.86822388238237
"26",85.874,90.882,-17.5517257932889,-2.9836566072782
"27",94.087,93.962,9.56401239024619,3.38900992495764
"28",86.173,93.308,-8.41136395038635,-0.696026053085286
"29",93.376,94.184,8.35876666705349,0.938826252840046
"30",91.897,92.879,-1.58391877998629,-1.38558566210821
"31",91.491,93.861,-0.441798970586641,1.05728959183454
"32",92.36,94.77,0.949820200894077,0.968453351232132
"33",91.887,93.844,-0.512126461671718,-0.977102458583942
"34",90.483,93.638,-1.52796369453785,-0.219513234729966
"35",87.898,89.758,-2.85689024457634,-4.1436169076657
"36",107.207,91.229,21.9675077931238,1.63885113304664
"37",100.354,85.335,-6.39230647252511,-6.46066492014601
"38",76.631,87.76,-23.6393168184626,2.84174137223884
"39",88.294,89.115,15.2196891597395,1.54398359161348
"40",83.527,89.61,-5.39900786010374,0.555462043427038
"41",89.216,89.92,6.81097130269253,0.345943533087828
"42",90.404,92.042,1.33159971305596,2.35987544483986
"43",90.397,92.062,-0.00774302022033405,0.0217292105777754
"44",89.44,91.716,-1.05866345122073,-0.375833677304429
"45",90.223,92.992,0.875447227191415,1.39125125387066
"46",89.451,91.826,-0.855657648271511,-1.25387130075707
"47",89.826,91.581,0.419223932655867,-0.266808964781206
"48",109.05,92.929,21.4013759935876,1.47192103165504
"49",100.885,93.879,-7.4873911049977,1.02228583111838
"50",91.272,94.108,-9.52867125935471,0.243931017586467
"51",92.139,95.085,0.949907967394152,1.0381689123135
"52",88.139,93.863,-4.34126699877359,-1.28516590419098
"53",94.052,94.671,6.70872145134391,0.860829080681426
"54",92.189,94.315,-1.98081912133715,-0.376039124969641
"55",94.081,95.292,2.05230558960398,1.03589036738589
"56",93.431,96.31,-0.69089401685782,1.06829534483482
"57",94.101,97.302,0.717106741873684,1.03000726819645
"58",94.327,96.589,0.240167479622957,-0.732770138332211
"59",95.966,98.48,1.73757248719878,1.95777987141393
"60",117.305,98.908,22.2360002500886,0.434606011372865
"61",115.232,99.02,-1.76718809939901,0.113236543050102
"62",86.87,97.84,-24.6129547347959,-1.19167844879822
"63",96.288,98.589,10.8414872798434,0.765535568274729
"64",94.834,100.63,-1.51005317381189,2.07021067259025
"65",99.29,100.986,4.69873673998777,0.353771241180571
"66",99.65,101.18,0.362574277369322,0.19210583645258
"67",101.877,103.308,2.23482187656798,2.10318244712394
"68",97.764,100.354,-4.03722135516358,-2.85941069423472
"69",93.862,98.2,-3.99124422077657,-2.14640173784801
"70",100.087,102.035,6.63207687882211,3.90529531568227
"71",99.275,102.284,-0.811294174068558,0.244033909932875
"72",124.575,104.009,25.4847645429363,1.68648077900746
"73",116.627,100.093,-6.38009231386715,-3.76505879298907
"74",92.11,101.062,-21.0217188129678,0.968099667309396
"75",100.898,102.404,9.540766474867,1.3278977261483
"76",96.938,102.707,-3.92475569386905,0.29588687941877
"77",99.689,102.291,2.83789638738162,-0.405035684033218
"78",101.953,103.031,2.27106300594851,0.723426303389359
"79",100.264,102.587,-1.65664570929743,-0.4309382613
"80",100.499,102.556,0.234381233543445,-0.0302182537748505
"81",97.22,102.094,-3.26271903203017,-0.450485588361484
"82",100.618,103.818,3.49516560378523,1.68863988089408
"83",101.603,103.071,0.978950088453358,-0.719528405478819
"84",122.81,101.873,20.872415184591,-1.16230559517225
"85",110.151,100.785,-10.3077925250387,-1.06799642692373
"86",100.739,106.654,-8.5446341839838,5.82328719551521
"87",101.104,103.472,0.362322437189167,-2.98347928816547
"88",97.752,104.617,-3.31539800601361,1.10657955775476
"89",102.835,104.849,5.19989360831492,0.221761281627268
"90",104.362,106.023,1.48490299995138,1.11970548121584
"91",102.79,104.96,-1.50629539487552,-1.00261264065345
"92",102.546,104.56,-0.237377176768168,-0.381097560975602
"93",97.576,102.842,-4.84660542585768,-1.64307574598317
"94",100.086,103.165,2.57235385750595,0.314074016452429
"95",101.667,102.598,1.57964150830286,-0.549605001696319
"96",124.545,104.034,22.5028770397474,1.39963741983275
"97",121.188,103.25,-2.69541129712152,-0.753599784685782
"98",92.31,104.004,-23.8290919893059,0.730266343825671
"99",100.333,102.365,8.6913660491821,-1.57590092688744
"100",95.128,102.874,-5.18772487616238,0.497240267669614
"101",100.049,101.512,5.17303002270626,-1.32394968602367
"102",100.116,102.341,0.0669671860788144,0.816652218456925
"103",100.146,101.613,0.0299652403212285,-0.711347358341226
"104",99.956,102.228,-0.189723004413554,0.605237518821406
"105",97.292,103.602,-2.66517267597743,1.34405446648669
