"","tourism","tourism_SA","tourism_growth","tourism_growth_SA"
"1",668334,663557.145848263,-16.614285518224,-5.66319855601536
"2",627367,673486.224234485,-6.12971957135205,2.02341625547223
"3",732753,717357.205850795,16.7981420763285,9.1477105395033
"4",702985,752360.68414263,-4.06248763225807,7.52866297266017
"5",709777,775241.416686079,0.966165707660903,5.38352309208342
"6",747475,783040.126925246,5.31124564475885,-4.62998851197271
"7",877392,789734.682822353,17.380781965952,-2.84289195775019
"8",811099,760857.045862588,-7.55568776555975,-2.59069618712985
"9",705110,756851.542488518,-13.0673321012601,0.895081424729906
"10",745129,732987.008386589,5.67556835103743,-2.08247998866597
"11",786117,790565.155296457,5.50079248022826,8.26279685929181
"12",829483,746921.503892411,5.51648164331773,-5.30841873658903
"13",767908,765641.802621796,-7.42329860889253,3.41021265173045
"14",728158,782015.557179929,-5.17640133974382,3.31943783054122
"15",819985,805082.331232724,12.6108619283178,4.12286464426239
"16",816654,859376.346174317,-0.40622694317579,9.58495095989333
"17",766181,825701.952896863,-6.18046320718444,-2.07582961227496
"18",788955,821244.586490417,2.97240469288588,-5.37013802488912
"19",914879,823319.072944459,15.9608596181024,-2.97916289301005
"20",870763,825608.6061787,-4.82205843614292,0.966565828925398
"21",715527,774290.978214002,-17.8275833952522,-4.19857214165134
"22",857821,844433.682791242,19.8866010646698,11.0060628236581
"23",800732,809500.422796822,-6.6551180257886,-3.53297945816038
"24",903578,820975.071845977,12.843997742066,2.10086425060334
"25",825919,826127.724167505,-8.59460943050849,2.13274429961333
"26",758341,819676.752923273,-8.18215829881623,0.308920159824545
"27",858661,843219.825772904,13.2288772465157,3.76866845203319
"28",819505,847198.429699533,-4.56012326168302,2.45295864196258
"29",821248,869260.118374676,0.212689367362005,3.9172205932983
"30",850514,877888.759116628,3.56360076371571,-1.58901792475852
"31",952836,856064.267717663,12.0306073738939,-4.69242462861284
"32",913181,869880.730415551,-4.16178649841106,2.09263590721545
"33",771453,839445.791827838,-15.5202528304903,-2.15371167267145
"34",917427,910567.444916029,18.9219563602708,9.75956452518113
"35",841648,864289.620596169,-8.25994874796578,-4.487686069697
"36",953812,871955.362019061,13.3267114042925,1.52475801134713
"37",885290,887532.65940638,-7.18401529861231,2.61895640307073
"38",813028,881413.773919597,-8.16252301505721,0.340814021771431
"39",910635,894239.95712588,12.0053675888161,1.58677748504665
"40",829438,841761.714506338,-8.91652528180885,-4.87089826513835
"41",833604,869841.049602869,0.502267800607158,3.80908951571329
"42",822954,845248.663243493,-1.27758504037888,-3.2461350957147
"43",922569,820521.159741792,12.1045647751879,-2.41689793101555
"44",850016,808601.498686719,-7.86423562898818,-1.169002111246
