Date,Wearing Apparel & Footwear
2011 Sep,90.172
2011 Oct,99.754
2011 Nov,102.357
2011 Dec,156.731
2012 Jan,145.676
2012 Feb,91.814
2012 Mar,95.552
2012 Apr,94.849
2012 May,97.803
2012 Jun,110.32
2012 Jul,109.22
2012 Aug,102.874
2012 Sep,91.567
2012 Oct,99.429
2012 Nov,106.781
2012 Dec,149.888
2013 Jan,132.209
2013 Feb,113.097
2013 Mar,95.616
2013 Apr,92.151
2013 May,97.238
2013 Jun,110.551
2013 Jul,106.555
2013 Aug,103.831
2013 Sep,91.927
2013 Oct,99.151
2013 Nov,105.128
2013 Dec,151.457
2014 Jan,138.255
2014 Feb,98.217
2014 Mar,97.379
2014 Apr,91.267
2014 May,97.127
2014 Jun,106.192
2014 Jul,102.323
2014 Aug,96.504
2014 Sep,91.477
2014 Oct,97.861
2014 Nov,104.353
2014 Dec,146.134
2015 Jan,119.797
2015 Feb,118.517
2015 Mar,91.672
2015 Apr,89.073
2015 May,96.665
2015 Jun,101.448
2015 Jul,99.754
2015 Aug,99.714
2015 Sep,83.162
2015 Oct,95.122
2015 Nov,102.602
2015 Dec,139.832
2016 Jan,120.037
2016 Feb,101.151
2016 Mar,88.658
2016 Apr,85.38
2016 May,94.31
2016 Jun,95.728
2016 Jul,98.598
2016 Aug,91.022
2016 Sep,81.756
2016 Oct,91.21
2016 Nov,97.67
2016 Dec,136.51
2017 Jan,135.638
2017 Feb,84.479
2017 Mar,86.956
2017 Apr,88.577
2017 May,88.919
2017 Jun,99.913
2017 Jul,99.595
2017 Aug,94.197
2017 Sep,86.177
2017 Oct,94.58
2017 Nov,99.121
2017 Dec,141.851
2018 Jan,113.793
2018 Feb,120.052
2018 Mar,90.874
2018 Apr,86.163
2018 May,94.101
2018 Jun,99.792
2018 Jul,99.456
2018 Aug,96.758
2018 Sep,87.288
2018 Oct,92.583
2018 Nov,102.45
2018 Dec,137.939
2019 Jan,125.666
2019 Feb,103.286
2019 Mar,95.294
2019 Apr,93.225
2019 May,95.9
2019 Jun,105.818
2019 Jul,102.534
2019 Aug,105.37
2019 Sep,92.593
2019 Oct,98.785
2019 Nov,107.75
2019 Dec,144.002
2020 Jan,140.076
2020 Feb,62.702
