"","rsi_quarterly","rsi_quarterly_SA","rsi_quarterly_rate","rsi_quarterly_rate_SA"
"1",94.137,91.9222868152078,3.18192779007827,3.74921745747104
"2",90.665,91.9771079640428,-3.6882416053199,0.059638582474793
"3",90.964,94.5987547294098,0.329785473997675,2.85032528571338
"4",98.936,96.1512223520874,8.76390660041336,1.6411078846844
"5",99.467,97.3492936307972,0.536710600792423,1.24602813089859
"6",98.647,99.9711497828868,-0.824394020127272,2.69324620066901
"7",95.814,99.3800595638606,-2.87185621458332,-0.591260799050487
"8",106.817,103.967093056381,11.4837080176175,4.61564775937048
"9",106.621,104.606904238218,-0.183491391819652,0.615397779266733
"10",106.641,107.969602795949,0.0187580307819381,3.21460479326762
"11",97.693,101.164541623842,-8.39076902879756,-6.30275651283808
"12",105.104,102.150069140379,7.58600923300544,0.974182752887429
"13",105.656,103.918018932225,0.525194093469332,1.73073773392771
"14",103.623,104.992015057778,-1.9241690012872,1.03350327170328
"15",100.469,103.768462811952,-3.04372581376722,-1.16537647663261
"16",99.437,96.3069854118669,-1.02718251400929,-7.19050586073248
"17",94.408,92.958361672167,-5.0574735762342,-3.47703100183149
"18",91.144,92.5634906317431,-3.45733412422676,-0.424782701976289
"19",90.104,93.2316334904998,-1.14105152286492,0.721821156696491
"20",95.428,92.1090051066084,5.90872769244428,-1.20412819325513
"21",95.773,94.5079442718428,0.361529110952759,2.60445671132578
"22",85.558,87.2389037269961,-10.665845279985,-7.69145980356748
"23",89.625,92.5553936040739,4.75350054933495,6.09417318415095
"24",96.037,92.4793588979159,7.15425383542539,-0.0821504865327566
"25",90.959,89.873776161906,-5.28754542520071,-2.81747491230566
"26",91.921,93.871906706927,1.05761936696754,4.44860638526906
"27",91.219,93.9716436535073,-0.763699263498017,0.106247918125028
"28",99.97,96.1991099770171,9.59339611265198,2.37036007555943
"29",96.614,95.5975202220682,-3.35700710213063,-0.62535896131736
"30",92.725,94.8702332821926,-4.025296540874,-0.76078013131118
"31",91.658,94.423880628464,-1.15071447829603,-0.470487568424998
"32",98.875,94.831112790209,7.87383534443256,0.431280899529378
"33",94.13,93.1820027151492,-4.79898862199748,-1.73899686140777
"34",93.224,95.5694678652512,-0.962498672049285,2.56215264808192
"35",89.242,92.0384551846725,-4.27143224920621,-3.69470790143697
"36",95.361,91.0737725881648,6.85663700947984,-1.04812993066011
"37",93.481,92.6110222982781,-1.97145583624334,1.68791702202215
"38",88.824,91.1998926679749,-4.9817609995614,-1.52371671890019
"39",90.179,92.9921605841556,1.52548860668288,1.9652083612705
"40",99.228,94.8408211498436,10.0344869648144,1.98797463579197
"41",97.187,96.3916605875733,-2.05687910670375,1.63520245705108
"42",95.017,97.4176916850294,-2.23280891477255,1.06443969447332
"43",95.621,98.4492642580843,0.635675721186734,1.05891707677718
"44",102.753,98.2687627859818,7.45861264784933,-0.183344663327608
"45",99.429,98.6634059444698,-3.23494204548772,0.401595733272285
"46",96.134,98.560913433252,-3.3139224974605,-0.103880978197157
"47",96.14,98.9655388856909,0.00624128820188511,0.41053338320865
"48",102.92,98.4149650203747,7.05221551903474,-0.556328871155993
"49",100.616,99.867045062728,-2.23863194714341,1.47546670575218
"50",96.905,99.348590270613,-3.68828019400493,-0.519145021052085
"51",96.688,99.5063070644184,-0.223930653733036,0.158750912696185
"52",105.791,101.264664260884,9.41481879860996,1.76708115127589
"53",99.017,98.277202117699,-6.40319119773894,-2.95015261739173
"54",97.399,99.854085613782,-1.63406283769453,1.60452624016962
"55",95.869,98.6853318347029,-1.57085801702276,-1.17046165101313
"56",103.473,98.9305309216264,7.93165673992636,0.24846558486949
"57",97.983,97.2513506716884,-5.30573193006871,-1.69733269830348
"58",92.807,95.2726691485408,-5.2825490136044,-2.03460569902764
"59",93.138,95.9517456417464,0.356654131692656,0.712771563213775
"60",98.45,93.8910517672122,5.70336489939659,-2.14763562742061
