Date,Day,Name,Type,Year
21-Jul,Tuesday,Racial Harmony Day,Observance,2020
31-Jul,Friday,Hari Raya Haji,National holiday,2020
9-Aug,Sunday,National Day,National holiday,2020
10-Aug,Monday,National Day observed,National holiday,2020
22-Sep,Tuesday,September Equinox,Season,2020
2-Oct,Friday,Children's Day,Observance,2020
14-Nov,Saturday,Diwali/Deepavali,National holiday,2020
21-Dec,Monday,December Solstice,Season,2020
24-Dec,Thursday,Christmas Eve,Observance,2020
25-Dec,Friday,Christmas Day,National holiday,2020
31-Dec,Thursday,New Year's Eve,Observance,2020
