month,level_1,level_2,value
1978-09,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,115.009
1978-09,Export Price Index - Overall Items,Chemicals & Chemical Products,66.52
1978-09,Export Price Index - Overall Items,Manufactured Goods,83.885
1978-09,Export Price Index - Overall Items,Machinery & Transport Equipment,293.358
1978-09,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,109.512
1978-10,Export Price Index - Overall Items,Food & Live Animals,77.967
1978-10,Export Price Index - Overall Items,Beverages & Tobacco,58.334
1978-10,Export Price Index - Overall Items,Crude Materials (Excl Fuels),58.225
1978-10,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",23.971
1978-10,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,114.132
1978-10,Export Price Index - Overall Items,Chemicals & Chemical Products,65.939
1978-10,Export Price Index - Overall Items,Manufactured Goods,84.892
1978-10,Export Price Index - Overall Items,Machinery & Transport Equipment,290.599
1978-10,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,109.162
1978-11,Export Price Index - Overall Items,Food & Live Animals,76.894
1978-11,Export Price Index - Overall Items,Beverages & Tobacco,58.334
1978-11,Export Price Index - Overall Items,Crude Materials (Excl Fuels),59.236
1978-11,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",24.129
1978-11,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,114.531
1978-11,Export Price Index - Overall Items,Chemicals & Chemical Products,66.188
1978-11,Export Price Index - Overall Items,Manufactured Goods,85.394
1978-11,Export Price Index - Overall Items,Machinery & Transport Equipment,291.602
1978-11,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,109.046
1978-12,Export Price Index - Overall Items,Food & Live Animals,78.181
1978-12,Export Price Index - Overall Items,Beverages & Tobacco,57.875
1978-12,Export Price Index - Overall Items,Crude Materials (Excl Fuels),58.113
1978-12,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",24.11
1978-12,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,114.849
1978-12,Export Price Index - Overall Items,Chemicals & Chemical Products,66.851
1978-12,Export Price Index - Overall Items,Manufactured Goods,85.647
1978-12,Export Price Index - Overall Items,Machinery & Transport Equipment,294.36
1978-12,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,109.512
1979-01,Export Price Index - Overall Items,Food & Live Animals,76.68
1979-01,Export Price Index - Overall Items,Beverages & Tobacco,58.104
1979-01,Export Price Index - Overall Items,Crude Materials (Excl Fuels),57.664
1979-01,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",25.006
1979-01,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,119.233
1979-01,Export Price Index - Overall Items,Chemicals & Chemical Products,68.593
1979-01,Export Price Index - Overall Items,Manufactured Goods,87.072
1979-01,Export Price Index - Overall Items,Machinery & Transport Equipment,301.381
1979-01,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.143
1979-02,Export Price Index - Overall Items,Food & Live Animals,76.823
1979-02,Export Price Index - Overall Items,Beverages & Tobacco,57.952
1979-02,Export Price Index - Overall Items,Crude Materials (Excl Fuels),60.639
1979-02,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",25.941
1979-02,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,123.616
1979-02,Export Price Index - Overall Items,Chemicals & Chemical Products,68.344
1979-02,Export Price Index - Overall Items,Manufactured Goods,87.492
1979-02,Export Price Index - Overall Items,Machinery & Transport Equipment,304.389
1979-02,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.027
1979-03,Export Price Index - Overall Items,Food & Live Animals,76.966
1979-03,Export Price Index - Overall Items,Beverages & Tobacco,58.257
1979-03,Export Price Index - Overall Items,Crude Materials (Excl Fuels),61.257
1979-03,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",26.539
1979-03,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,119.472
1979-03,Export Price Index - Overall Items,Chemicals & Chemical Products,68.842
1979-03,Export Price Index - Overall Items,Manufactured Goods,87.828
1979-03,Export Price Index - Overall Items,Machinery & Transport Equipment,304.389
1979-03,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,110.794
