month,level_1,value
1990-03,Total,28.061
1990-03,Total Excluding Biomedical Manufacturing,na
1990-04,Total,22.653
1990-04,Total Excluding Biomedical Manufacturing,na
1990-05,Total,24.534
1990-05,Total Excluding Biomedical Manufacturing,na
1990-06,Total,25.475
1990-06,Total Excluding Biomedical Manufacturing,na
1990-07,Total,25.161
1990-07,Total Excluding Biomedical Manufacturing,na
1990-08,Total,27.59
1990-08,Total Excluding Biomedical Manufacturing,na
1990-09,Total,28.374
1990-09,Total Excluding Biomedical Manufacturing,na
1990-10,Total,27.512
1990-10,Total Excluding Biomedical Manufacturing,na
1990-11,Total,26.102
1990-11,Total Excluding Biomedical Manufacturing,na
1990-12,Total,27.277
1990-12,Total Excluding Biomedical Manufacturing,na
1991-01,Total,27.199
1991-01,Total Excluding Biomedical Manufacturing,na
1991-02,Total,22.26
1991-02,Total Excluding Biomedical Manufacturing,na
1991-03,Total,31.039
1991-03,Total Excluding Biomedical Manufacturing,na
1991-04,Total,25.161
1991-04,Total Excluding Biomedical Manufacturing,na
1991-05,Total,25.866
1991-05,Total Excluding Biomedical Manufacturing,na
1991-06,Total,26.102
1991-06,Total Excluding Biomedical Manufacturing,na
1991-07,Total,27.042
1991-07,Total Excluding Biomedical Manufacturing,na
1991-08,Total,28.61
1991-08,Total Excluding Biomedical Manufacturing,na
1991-09,Total,28.374
1991-09,Total Excluding Biomedical Manufacturing,na
1991-10,Total,28.531
1991-10,Total Excluding Biomedical Manufacturing,na
1991-11,Total,26.023
1991-11,Total Excluding Biomedical Manufacturing,na
1991-12,Total,27.983
1991-12,Total Excluding Biomedical Manufacturing,na
1992-01,Total,26.963
1992-01,Total Excluding Biomedical Manufacturing,38.594
1992-02,Total,22.026
1992-02,Total Excluding Biomedical Manufacturing,31.864
1992-03,Total,31.118
1992-03,Total Excluding Biomedical Manufacturing,44.136
1992-04,Total,25.082
1992-04,Total Excluding Biomedical Manufacturing,37.011
1992-05,Total,25.631
1992-05,Total Excluding Biomedical Manufacturing,38.001
1992-06,Total,26.885
1992-06,Total Excluding Biomedical Manufacturing,40.078
1992-07,Total,28.296
1992-07,Total Excluding Biomedical Manufacturing,41.266
1992-08,Total,28.767
1992-08,Total Excluding Biomedical Manufacturing,39.98
1992-09,Total,29.237
1992-09,Total Excluding Biomedical Manufacturing,42.256
1992-10,Total,28.923
1992-10,Total Excluding Biomedical Manufacturing,41.959
1992-11,Total,27.983
1992-11,Total Excluding Biomedical Manufacturing,41.365
1992-12,Total,30.961
1992-12,Total Excluding Biomedical Manufacturing,45.522
1993-01,Total,25.475
1993-01,Total Excluding Biomedical Manufacturing,36.813
1993-02,Total,28.374
1993-02,Total Excluding Biomedical Manufacturing,40.87
1993-03,Total,33.077
1993-03,Total Excluding Biomedical Manufacturing,47.896
1993-04,Total,28.453
1993-04,Total Excluding Biomedical Manufacturing,42.057
1993-05,Total,28.453
1993-05,Total Excluding Biomedical Manufacturing,41.86
1993-06,Total,30.099
1993-06,Total Excluding Biomedical Manufacturing,44.433
1993-07,Total,30.491
1993-07,Total Excluding Biomedical Manufacturing,45.026
1993-08,Total,32.842
1993-08,Total Excluding Biomedical Manufacturing,45.422
1993-09,Total,32.686
1993-09,Total Excluding Biomedical Manufacturing,48.292
1993-10,Total,31.823
1993-10,Total Excluding Biomedical Manufacturing,46.412
1993-11,Total,30.334
1993-11,Total Excluding Biomedical Manufacturing,44.532
1993-12,Total,33.626
1993-12,Total Excluding Biomedical Manufacturing,49.381
1994-01,Total,31.588
1994-01,Total Excluding Biomedical Manufacturing,45.917
1994-02,Total,27.434
1994-02,Total Excluding Biomedical Manufacturing,39.385
1994-03,Total,38.564
1994-03,Total Excluding Biomedical Manufacturing,55.615
1994-04,Total,32.059
1994-04,Total Excluding Biomedical Manufacturing,47.501
1994-05,Total,32.372
1994-05,Total Excluding Biomedical Manufacturing,47.995
1994-06,Total,34.174
1994-06,Total Excluding Biomedical Manufacturing,51.36
1994-07,Total,33.783
1994-07,Total Excluding Biomedical Manufacturing,49.974
1994-08,Total,37.232
1994-08,Total Excluding Biomedical Manufacturing,52.35
1994-09,Total,38.564
1994-09,Total Excluding Biomedical Manufacturing,55.912
1994-10,Total,35.507
1994-10,Total Excluding Biomedical Manufacturing,51.854
1994-11,Total,34.567
1994-11,Total Excluding Biomedical Manufacturing,51.162
1994-12,Total,37.466
1994-12,Total Excluding Biomedical Manufacturing,55.319
1995-01,Total,32.686
1995-01,Total Excluding Biomedical Manufacturing,48.688
1995-02,Total,31.275
1995-02,Total Excluding Biomedical Manufacturing,45.225
1995-03,Total,41.778
1995-03,Total Excluding Biomedical Manufacturing,60.167
1995-04,Total,33.626
1995-04,Total Excluding Biomedical Manufacturing,49.974
1995-05,Total,34.958
1995-05,Total Excluding Biomedical Manufacturing,51.756
1995-06,Total,38.093
1995-06,Total Excluding Biomedical Manufacturing,56.902
1995-07,Total,37.859
1995-07,Total Excluding Biomedical Manufacturing,55.516
1995-08,Total,42.405
1995-08,Total Excluding Biomedical Manufacturing,59.375
1995-09,Total,43.11
1995-09,Total Excluding Biomedical Manufacturing,61.948
1995-10,Total,39.426
1995-10,Total Excluding Biomedical Manufacturing,57.298
1995-11,Total,39.975
1995-11,Total Excluding Biomedical Manufacturing,59.375
1995-12,Total,40.837
1995-12,Total Excluding Biomedical Manufacturing,60.563
1996-01,Total,40.602
1996-01,Total Excluding Biomedical Manufacturing,59.574
1996-02,Total,33.234
1996-02,Total Excluding Biomedical Manufacturing,47.798
1996-03,Total,46.088
1996-03,Total Excluding Biomedical Manufacturing,66.599
1996-04,Total,37.623
1996-04,Total Excluding Biomedical Manufacturing,56.01
1996-05,Total,38.25
1996-05,Total Excluding Biomedical Manufacturing,56.209
1996-06,Total,37.545
1996-06,Total Excluding Biomedical Manufacturing,55.813
1996-07,Total,38.721
1996-07,Total Excluding Biomedical Manufacturing,57.298
1996-08,Total,39.426
1996-08,Total Excluding Biomedical Manufacturing,56.406
1996-09,Total,40.288
1996-09,Total Excluding Biomedical Manufacturing,58.188
1996-10,Total,40.445
1996-10,Total Excluding Biomedical Manufacturing,59.178
1996-11,Total,38.329
1996-11,Total Excluding Biomedical Manufacturing,56.11
1996-12,Total,40.681
1996-12,Total Excluding Biomedical Manufacturing,60.464
1997-01,Total,38.407
1997-01,Total Excluding Biomedical Manufacturing,56.209
1997-02,Total,32.059
1997-02,Total Excluding Biomedical Manufacturing,45.225
1997-03,Total,43.189
1997-03,Total Excluding Biomedical Manufacturing,61.948
1997-04,Total,38.486
1997-04,Total Excluding Biomedical Manufacturing,57.099
1997-05,Total,38.329
1997-05,Total Excluding Biomedical Manufacturing,56.605
1997-06,Total,41.699
1997-06,Total Excluding Biomedical Manufacturing,61.553
1997-07,Total,42.013
1997-07,Total Excluding Biomedical Manufacturing,61.948
1997-08,Total,42.169
1997-08,Total Excluding Biomedical Manufacturing,60.464
1997-09,Total,46.088
1997-09,Total Excluding Biomedical Manufacturing,68.381
1997-10,Total,43.58
1997-10,Total Excluding Biomedical Manufacturing,64.521
1997-11,Total,41.621
1997-11,Total Excluding Biomedical Manufacturing,61.454
1997-12,Total,44.756
1997-12,Total Excluding Biomedical Manufacturing,66.699
1998-01,Total,36.291
1998-01,Total Excluding Biomedical Manufacturing,53.141
1998-02,Total,37.389
1998-02,Total Excluding Biomedical Manufacturing,54.13
1998-03,Total,47.421
1998-03,Total Excluding Biomedical Manufacturing,64.521
1998-04,Total,39.661
1998-04,Total Excluding Biomedical Manufacturing,57.99
1998-05,Total,37.075
1998-05,Total Excluding Biomedical Manufacturing,54.13
1998-06,Total,41.621
1998-06,Total Excluding Biomedical Manufacturing,58.881
1998-07,Total,39.661
1998-07,Total Excluding Biomedical Manufacturing,56.703
1998-08,Total,39.426
1998-08,Total Excluding Biomedical Manufacturing,54.823
1998-09,Total,45.775
