month,level_1,value
2013-03,Total,105.576
2013-03,Total Excluding Biomedical Manufacturing,103.861
2013-04,Total,103.702
2013-04,Total Excluding Biomedical Manufacturing,102.665
2013-05,Total,103.589
2013-05,Total Excluding Biomedical Manufacturing,101.653
2013-06,Total,107.342
2013-06,Total Excluding Biomedical Manufacturing,108.808
2013-07,Total,104.554
2013-07,Total Excluding Biomedical Manufacturing,108.179
2013-08,Total,98.839
2013-08,Total Excluding Biomedical Manufacturing,101.836
2013-09,Total,107.994
2013-09,Total Excluding Biomedical Manufacturing,114.006
2013-10,Total,104.056
2013-10,Total Excluding Biomedical Manufacturing,109.191
2013-11,Total,101.973
2013-11,Total Excluding Biomedical Manufacturing,104.929
2013-12,Total,116.568
2013-12,Total Excluding Biomedical Manufacturing,121.615
2014-01,Total,97.002
2014-01,Total Excluding Biomedical Manufacturing,99.883
2014-02,Total,94.915
2014-02,Total Excluding Biomedical Manufacturing,93.501
2014-03,Total,118.443
2014-03,Total Excluding Biomedical Manufacturing,115.139
2014-04,Total,109.213
2014-04,Total Excluding Biomedical Manufacturing,102.881
2014-05,Total,101.606
2014-05,Total Excluding Biomedical Manufacturing,101.673
2014-06,Total,108.132
2014-06,Total Excluding Biomedical Manufacturing,109.127
2014-07,Total,107.32
2014-07,Total Excluding Biomedical Manufacturing,105.36
2014-08,Total,102.619
2014-08,Total Excluding Biomedical Manufacturing,104.439
2014-09,Total,106.744
2014-09,Total Excluding Biomedical Manufacturing,114.747
2014-10,Total,104.389
2014-10,Total Excluding Biomedical Manufacturing,104.703
2014-11,Total,100.008
2014-11,Total Excluding Biomedical Manufacturing,102.644
2014-12,Total,114.468
2014-12,Total Excluding Biomedical Manufacturing,119.25
2015-01,Total,99.076
2015-01,Total Excluding Biomedical Manufacturing,100.799
2015-02,Total,91.808
2015-02,Total Excluding Biomedical Manufacturing,90.626
2015-03,Total,106.118
2015-03,Total Excluding Biomedical Manufacturing,108.794
2015-04,Total,99.697
2015-04,Total Excluding Biomedical Manufacturing,98.958
2015-05,Total,100.364
2015-05,Total Excluding Biomedical Manufacturing,98.909
2015-06,Total,105.237
2015-06,Total Excluding Biomedical Manufacturing,102.706
2015-07,Total,100.813
2015-07,Total Excluding Biomedical Manufacturing,98.854
2015-08,Total,97.8
2015-08,Total Excluding Biomedical Manufacturing,96.463
2015-09,Total,100.024
2015-09,Total Excluding Biomedical Manufacturing,103.351
2015-10,Total,100.978
2015-10,Total Excluding Biomedical Manufacturing,100.121
2015-11,Total,97.226
2015-11,Total Excluding Biomedical Manufacturing,97.609
2015-12,Total,100.86
2015-12,Total Excluding Biomedical Manufacturing,102.812
2016-01,Total,100.291
2016-01,Total Excluding Biomedical Manufacturing,95.688
2016-02,Total,88.727
2016-02,Total Excluding Biomedical Manufacturing,85.265
2016-03,Total,106.889
2016-03,Total Excluding Biomedical Manufacturing,104.122
2016-04,Total,102.963
2016-04,Total Excluding Biomedical Manufacturing,98.737
2016-05,Total,100.772
2016-05,Total Excluding Biomedical Manufacturing,96.431
2016-06,Total,106.379
2016-06,Total Excluding Biomedical Manufacturing,107.004
2016-07,Total,97.488
2016-07,Total Excluding Biomedical Manufacturing,97.252
2016-08,Total,98.773
2016-08,Total Excluding Biomedical Manufacturing,99.884
2016-09,Total,107.881
2016-09,Total Excluding Biomedical Manufacturing,108.091
2016-10,Total,102.199
2016-10,Total Excluding Biomedical Manufacturing,98.74
2016-11,Total,108.577
2016-11,Total Excluding Biomedical Manufacturing,103.678
2016-12,Total,123.469
2016-12,Total Excluding Biomedical Manufacturing,120.704
2017-01,Total,104.309
2017-01,Total Excluding Biomedical Manufacturing,104.467
2017-02,Total,97.707
2017-02,Total Excluding Biomedical Manufacturing,99.657
2017-03,Total,118.852
2017-03,Total Excluding Biomedical Manufacturing,118.602
2017-04,Total,109.832
2017-04,Total Excluding Biomedical Manufacturing,114.294
2017-05,Total,105.776
2017-05,Total Excluding Biomedical Manufacturing,109.329
2017-06,Total,121.048
2017-06,Total Excluding Biomedical Manufacturing,121.63
2017-07,Total,120.197
2017-07,Total Excluding Biomedical Manufacturing,122.045
2017-08,Total,119.035
2017-08,Total Excluding Biomedical Manufacturing,118.076
2017-09,Total,123.645
2017-09,Total Excluding Biomedical Manufacturing,125.218
2017-10,Total,117.82
2017-10,Total Excluding Biomedical Manufacturing,124.302
2017-11,Total,115.186
2017-11,Total Excluding Biomedical Manufacturing,118.52
2017-12,Total,120.498
2017-12,Total Excluding Biomedical Manufacturing,128.272
2018-01,Total,123.436
2018-01,Total Excluding Biomedical Manufacturing,125.877
2018-02,Total,102.821
2018-02,Total Excluding Biomedical Manufacturing,107.414
2018-03,Total,126.763
2018-03,Total Excluding Biomedical Manufacturing,129.725
2018-04,Total,121.778
2018-04,Total Excluding Biomedical Manufacturing,126.25
2018-05,Total,119.534
2018-05,Total Excluding Biomedical Manufacturing,121.809
2018-06,Total,130.988
2018-06,Total Excluding Biomedical Manufacturing,130.269
2018-07,Total,128.218
2018-07,Total Excluding Biomedical Manufacturing,129.601
2018-08,Total,122.993
2018-08,Total Excluding Biomedical Manufacturing,123.043
2018-09,Total,124.24
2018-09,Total Excluding Biomedical Manufacturing,128.712
2018-10,Total,123.946
2018-10,Total Excluding Biomedical Manufacturing,129.772
2018-11,Total,123.052
2018-11,Total Excluding Biomedical Manufacturing,124.187
2018-12,Total,122.703
2018-12,Total Excluding Biomedical Manufacturing,124.679
2019-01,Total,125.39
2019-01,Total Excluding Biomedical Manufacturing,125.232
2019-02,Total,106.134
2019-02,Total Excluding Biomedical Manufacturing,108.032
2019-03,Total,121.667
2019-03,Total Excluding Biomedical Manufacturing,120.223
2019-04,Total,121.993
2019-04,Total Excluding Biomedical Manufacturing,124.84
2019-05,Total,118.054
2019-05,Total Excluding Biomedical Manufacturing,116.85
2019-06,Total,122.034
2019-06,Total Excluding Biomedical Manufacturing,116.178
2019-07,Total,131.173
2019-07,Total Excluding Biomedical Manufacturing,131.742
2019-08,Total,116.099
2019-08,Total Excluding Biomedical Manufacturing,111.39
2019-09,Total,125.422
2019-09,Total Excluding Biomedical Manufacturing,123.829
2019-10,Total,127.444
2019-10,Total Excluding Biomedical Manufacturing,128.712
2019-11,Total,112.047
2019-11,Total Excluding Biomedical Manufacturing,112.267
2019-12,Total,121.793
2019-12,Total Excluding Biomedical Manufacturing,120.678
