month,level_1,value
2006-07,Value Of Food & Beverage Sales  - Estimated,372
2006-08,Value Of Food & Beverage Sales  - Estimated,367
2006-09,Value Of Food & Beverage Sales  - Estimated,359
2006-10,Value Of Food & Beverage Sales  - Estimated,369
2006-11,Value Of Food & Beverage Sales  - Estimated,371
2006-12,Value Of Food & Beverage Sales  - Estimated,412
2007-01,Value Of Food & Beverage Sales  - Estimated,371
2007-02,Value Of Food & Beverage Sales  - Estimated,376
2007-03,Value Of Food & Beverage Sales  - Estimated,392
2007-04,Value Of Food & Beverage Sales  - Estimated,367
2007-05,Value Of Food & Beverage Sales  - Estimated,392
2007-06,Value Of Food & Beverage Sales  - Estimated,403
2007-07,Value Of Food & Beverage Sales  - Estimated,405
2007-08,Value Of Food & Beverage Sales  - Estimated,414
2007-09,Value Of Food & Beverage Sales  - Estimated,401
2007-10,Value Of Food & Beverage Sales  - Estimated,409
2007-11,Value Of Food & Beverage Sales  - Estimated,414
2007-12,Value Of Food & Beverage Sales  - Estimated,466
2008-01,Value Of Food & Beverage Sales  - Estimated,412
2008-02,Value Of Food & Beverage Sales  - Estimated,442
2008-03,Value Of Food & Beverage Sales  - Estimated,430
2008-04,Value Of Food & Beverage Sales  - Estimated,413
2008-05,Value Of Food & Beverage Sales  - Estimated,450
2008-06,Value Of Food & Beverage Sales  - Estimated,435
2008-07,Value Of Food & Beverage Sales  - Estimated,444
2008-08,Value Of Food & Beverage Sales  - Estimated,445
2008-09,Value Of Food & Beverage Sales  - Estimated,435
2008-10,Value Of Food & Beverage Sales  - Estimated,460
2008-11,Value Of Food & Beverage Sales  - Estimated,447
2008-12,Value Of Food & Beverage Sales  - Estimated,480
2009-01,Value Of Food & Beverage Sales  - Estimated,454
2009-02,Value Of Food & Beverage Sales  - Estimated,407
2009-03,Value Of Food & Beverage Sales  - Estimated,431
2009-04,Value Of Food & Beverage Sales  - Estimated,416
2009-05,Value Of Food & Beverage Sales  - Estimated,440
2009-06,Value Of Food & Beverage Sales  - Estimated,431
2009-07,Value Of Food & Beverage Sales  - Estimated,436
2009-08,Value Of Food & Beverage Sales  - Estimated,443
2009-09,Value Of Food & Beverage Sales  - Estimated,431
2009-10,Value Of Food & Beverage Sales  - Estimated,445
2009-11,Value Of Food & Beverage Sales  - Estimated,436
2009-12,Value Of Food & Beverage Sales  - Estimated,488
2010-01,Value Of Food & Beverage Sales  - Estimated,475
2010-02,Value Of Food & Beverage Sales  - Estimated,477
2010-03,Value Of Food & Beverage Sales  - Estimated,474
2010-04,Value Of Food & Beverage Sales  - Estimated,471
2010-05,Value Of Food & Beverage Sales  - Estimated,505
2010-06,Value Of Food & Beverage Sales  - Estimated,485
2010-07,Value Of Food & Beverage Sales  - Estimated,499
2010-08,Value Of Food & Beverage Sales  - Estimated,495
2010-09,Value Of Food & Beverage Sales  - Estimated,495
2010-10,Value Of Food & Beverage Sales  - Estimated,519
2010-11,Value Of Food & Beverage Sales  - Estimated,510
2010-12,Value Of Food & Beverage Sales  - Estimated,562
2011-01,Value Of Food & Beverage Sales  - Estimated,539
2011-02,Value Of Food & Beverage Sales  - Estimated,528
2011-03,Value Of Food & Beverage Sales  - Estimated,536
