"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"1",0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2",0,0,0,0,0,0,0,1,543.8151842113,2.04632037180545,0.398690010437804,2.87465863231149
"3",0,0,0,0,0,0,1,0,540.204567307231,2.0116476729678,0.667712399967184,2.93455989823586
"4",0,0,0,0,0,0,1,1,542.42335144124,2.01163584410486,0.606197497968299,2.93237605813221
"5",0,0,0,0,0,1,0,0,530.209030873201,1.96311558373975,0.261253047073659,2.99034899746066
"6",0,0,0,0,0,1,0,1,532.372906374657,1.96301610219691,0.217970006375234,2.97049434046692
"7",0,0,0,0,0,1,1,0,530.827062416313,1.95038965452843,0.219414506962244,3.12144400130449
"8",0,0,0,0,0,1,1,1,533.041506470027,1.95031065719216,0.178286459853095,3.1061162848345
"9",0,0,0,0,1,0,0,0,535.688785530674,1.96842579131241,0.506333355945948,4.46048769094076
"10",0,0,0,0,1,0,0,1,537.901803279359,1.96819237686446,0.441279492864434,4.43127308637674
"11",0,0,0,0,1,0,1,0,534.866151101751,1.92799597608066,0.577707857844109,4.2874214756117
"12",0,0,0,0,1,0,1,1,537.082443250546,1.92763106945238,0.506962773360286,4.22386306590049
"13",0,0,0,0,1,1,0,0,527.873008688582,1.91512578326334,0.297253622199405,3.29319770327649
"14",0,0,0,0,1,1,0,1,530.063245962716,1.91451880509018,0.236326208335785,3.2601737795501
"15",0,0,0,0,1,1,1,0,525.996674876936,1.87749051314423,0.254718822289047,3.07674475496071
"16",0,0,0,0,1,1,1,1,528.051391916589,1.87552890652839,0.174971039349954,3.02127627951724
"17",0,0,0,1,0,0,0,0,537.543041214186,1.95598804206987,0.497868836498111,10.0603369954209
"18",0,0,0,1,0,0,0,1,539.802025187225,1.95590012571445,0.432120058047877,10.0560758253889
"19",0,0,0,1,0,0,1,0,536.133711126291,1.93589168717342,0.437466979174873,10.7740321510726
"20",0,0,0,1,0,0,1,1,538.409067791788,1.93608067077753,0.362919722872919,10.7560861302402
"21",0,0,0,1,0,1,0,0,529.163642797296,1.93138388024915,0.306497657678163,3.70665445672359
"22",0,0,0,1,0,1,0,1,531.368032854235,1.93113869041784,0.248627311630684,3.66680718887983
"23",0,0,0,1,0,1,1,0,527.256594010194,1.90089248521497,0.270435491706193,3.7116836514905
"24",0,0,0,1,0,1,1,1,529.299169136241,1.8996979533287,0.188011593124191,3.51448363488834
"25",0,0,0,1,1,0,0,0,537.437358430649,1.96826455658744,0.409167372134237,5.3866888238266
"26",0,0,0,1,1,0,0,1,539.671381873475,1.98541643621007,0.169026564889514,5.22886192284008
"27",0,0,0,1,1,0,1,0,536.219659965253,1.93040068501466,0.455724266070019,5.60616450698052
"28",0,0,0,1,1,0,1,1,538.450745160917,1.93030552357255,0.380766378260837,5.51993049921831
"29",0,0,0,1,1,1,0,0,529.877370037514,1.9137563711845,0.256330168933965,3.57339229522674
"30",0,0,0,1,1,1,0,1,532.0963762632,1.91302842356475,0.198292228887019,3.51932986588871
"31",0,0,0,1,1,1,1,0,527.441861361591,1.87494861904919,0.223405132124841,3.48377199320183
"32",0,0,0,1,1,1,1,1,529.373619914894,1.87221512828617,0.134111174579743,3.28035588860028
"33",0,0,1,0,0,0,0,0,535.523327721617,2.01769737256879,0.123597640007819,2.91220197850306
"34",0,0,1,0,0,0,0,1,537.352837503786,2.01636456726045,0.0894415058527629,2.78243972216009
"35",0,0,1,0,0,0,1,0,537.647344228018,2.00291610350915,0.160855943339331,2.76312543095454
"36",0,0,1,0,0,0,1,1,539.548980107515,2.01574133946363,0.0662696451938448,2.79393266987139
"37",0,0,1,0,0,1,0,0,523.328590919949,1.90516194704516,0.174539126420155,3.09790605727083
"38",0,0,1,0,0,1,0,1,525.247542118905,1.90383750653737,0.129649475991521,2.97233876114186
"39",0,0,1,0,0,1,1,0,525.202114627278,1.90183237245044,0.136310435402543,3.17108083764065
"40",0,0,1,0,0,1,1,1,527.183464244371,1.90055268527996,0.0997910224630028,3.03821379097382
"41",0,0,1,0,1,0,0,0,524.034935267534,1.939789681312,0.0643488555653178,6.64246037940025
"42",0,0,1,0,1,0,0,1,525.925200473774,1.9378229411378,0.0471648584019931,6.9543965574021
"43",0,0,1,0,1,0,1,0,525.502502835323,1.93327315564396,0.0423557780405461,6.70105211366834
"44",0,0,1,0,1,0,1,1,527.507226202705,1.93183186769326,0.0313524254238676,6.96433076926839
"45",0,0,1,0,1,1,0,0,516.075310951619,1.82514396669471,0.15666859605603,3.02104911982949
"46",0,0,1,0,1,1,0,1,518.334069727201,1.82520842051178,0.121598473619454,3.0222526503418
"47",0,0,1,0,1,1,1,0,515.843994602075,1.80034148616813,0.0918672803515099,2.90827724109656
"48",0,0,1,0,1,1,1,1,518.132572458519,1.79977577580645,0.068000712010945,2.9091247570523
"49",0,0,1,1,0,0,0,0,523.986758817858,1.85628646788954,0.0626793836293222,8.860454840758
"50",0,0,1,1,0,0,0,1,526.252104449736,1.85776386882661,0.0489663124067737,8.72458465957615
"51",0,0,1,1,0,0,1,0,527.69855772261,1.93682412351157,0.172635225682809,9.9953244327706
"52",0,0,1,1,0,0,1,1,529.936368227047,1.93590133051399,0.140008233803006,9.86315246660466
"53",0,0,1,1,0,1,0,0,518.156270575686,1.84761859086498,0.176709826846951,3.49525570356332
"54",0,0,1,1,0,1,0,1,520.415189828741,1.84759205240847,0.138591594020706,3.49187982403299
