"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"1",0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2",0,0,0,0,0,0,0,1,543.8151842113,2.04632037180545,0.398690010437804,2.87465863231149
"3",0,0,0,0,0,0,1,0,540.204567307231,2.0116476729678,0.667712399967184,2.93455989823586
"4",0,0,0,0,0,0,1,1,542.42335144124,2.01163584410486,0.606197497968299,2.93237605813221
"5",0,0,0,0,0,1,0,0,530.209030873201,1.96311558373975,0.261253047073659,2.99034899746066
"6",0,0,0,0,0,1,0,1,532.372906374657,1.96301610219691,0.217970006375234,2.97049434046692
"7",0,0,0,0,0,1,1,0,530.827062416313,1.95038965452843,0.219414506962244,3.12144400130449
"8",0,0,0,0,0,1,1,1,533.041506470027,1.95031065719216,0.178286459853095,3.1061162848345
"9",0,0,0,0,1,0,0,0,540.883136999366,2.02636694178848,0.602094163351007,2.83800079879838
"10",0,0,0,0,1,0,0,1,543.090875119007,2.02624408679878,0.546686074469362,2.83272628136506
"11",0,0,0,0,1,0,1,0,542.028262045463,2.01268909533479,0.617782883368819,2.88321687677077
"12",0,0,0,0,1,0,1,1,544.287198224769,2.01268959210589,0.550826193841841,2.88448377800654
"13",0,0,0,0,1,1,0,0,531.978625248471,1.96163467535597,0.171327195021767,2.96974536071606
"14",0,0,0,0,1,1,0,1,534.176353772523,1.96164899081673,0.139415240991426,2.944842282244
"15",0,0,0,0,1,1,1,0,532.333130347422,1.94625427223704,0.123401094769837,3.13060400577461
"16",0,0,0,0,1,1,1,1,534.580356756523,1.94621199522417,0.0969975183252694,3.10392051589002
"17",0,0,0,1,0,0,0,0,539.621132622802,2.00667135315044,0.63393993197773,2.90186745859534
"18",0,0,0,1,0,0,0,1,541.837757798632,2.00665127655803,0.571201430566765,2.89989069086531
"19",0,0,0,1,0,0,1,0,541.256465390584,1.9994059486236,0.592252738404926,2.91013034881204
"20",0,0,0,1,0,0,1,1,543.514803628694,1.99940683937476,0.524853743464199,2.91277791758008
"21",0,0,0,1,0,1,0,0,532.133813772491,1.95949115880857,0.212785818693221,2.97261213544123
"22",0,0,0,1,0,1,0,1,534.330061138272,1.95933770825236,0.173693282705493,2.95320948219415
"23",0,0,0,1,0,1,1,0,532.862279351792,1.94820775327757,0.17583579801221,3.07873982150352
"24",0,0,0,1,0,1,1,1,535.115603211459,1.94811278390182,0.139669731065949,3.06285619346558
"25",0,0,0,1,1,0,0,0,540.861899277165,2.00631655254647,0.546887303022993,2.84864741397254
"26",0,0,0,1,1,0,0,1,543.120752928315,2.00632643081846,0.480815181439674,2.84861626955599
"27",0,0,0,1,1,0,1,0,542.241247153939,1.9974572747042,0.516038341286023,2.8103743475342
"28",0,0,0,1,1,0,1,1,544.533561913147,1.99733340931736,0.44004597548241,2.81752634638213
"29",0,0,0,1,1,1,0,0,533.338787260449,1.95364612563256,0.104882443955263,2.91916897240461
"30",0,0,0,1,1,1,0,1,535.563161750962,1.95374013630277,0.0831890142985051,2.8973779084945
"31",0,0,0,1,1,1,1,0,533.633429086493,1.93885751683279,0.0686736707974207,3.02102951659378
"32",0,0,0,1,1,1,1,1,535.919316715996,1.93888923589782,0.0522155586499822,2.995148074767
"33",0,0,1,0,0,0,0,0,535.523327721617,2.01769737256879,0.123597640007819,2.91220197850306
"34",0,0,1,0,0,0,0,1,537.352837503786,2.01636456726045,0.0894415058527629,2.78243972216009
"35",0,0,1,0,0,0,1,0,537.647344228018,2.00291610350915,0.160855943339331,2.76312543095454
"36",0,0,1,0,0,0,1,1,539.548980107515,2.01574133946363,0.0662696451938448,2.79393266987139
"37",0,0,1,0,0,1,0,0,523.328590919949,1.90516194704516,0.174539126420155,3.09790605727083
"38",0,0,1,0,0,1,0,1,525.247542118905,1.90383750653737,0.129649475991521,2.97233876114186
"39",0,0,1,0,0,1,1,0,525.202114627278,1.90183237245044,0.136310435402543,3.17108083764065
"40",0,0,1,0,0,1,1,1,527.183464244371,1.90055268527996,0.0997910224630028,3.03821379097382
"41",0,0,1,0,1,0,0,0,537.699527038832,2.01783055451515,0.0952613893971032,2.91168865146899
"42",0,0,1,0,1,0,0,1,539.565591049341,2.01656416464066,0.0674944618807944,2.78031726702644
