"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","CV"
"103",0,1,1,0,0,1,1,0,255.538209755919,8.41777768518157
"104",0,1,1,0,0,1,1,1,257.79709874981,8.6114873639007
"105",0,1,1,0,1,0,0,0,273.421645962673,10.0393199688398
"106",0,1,1,0,1,0,0,1,275.488292605375,10.2767851060993
"107",0,1,1,0,1,0,1,0,263.418359110932,9.20426748018533
"108",0,1,1,0,1,0,1,1,265.672820509082,9.43786838676255
"109",0,1,1,0,1,1,0,0,268.740647742211,9.5794291103706
"110",0,1,1,0,1,1,0,1,270.869972594588,9.80150770119548
"111",0,1,1,0,1,1,1,0,257.791750505159,8.73353421581082
"112",0,1,1,0,1,1,1,1,260.091348731757,8.94437370447061
"113",0,1,1,1,0,0,0,0,273.289631064367,10.0051395602936
"114",0,1,1,1,0,0,0,1,275.316083684432,10.2435116990655
"115",0,1,1,1,0,0,1,0,262.892817550505,9.1619637017951
"116",0,1,1,1,0,0,1,1,265.1275688688,9.40184762762278
"117",0,1,1,1,0,1,0,0,268.74114319122,9.54934900992901
"118",0,1,1,1,0,1,0,1,270.871960098723,9.77446148457935
"119",0,1,1,1,0,1,1,0,257.72049132876,8.72243472385803
"120",0,1,1,1,0,1,1,1,260.016544141077,8.93802631007619
"121",0,1,1,1,1,0,0,0,275.508438194729,10.1917660328519
"122",0,1,1,1,1,0,0,1,277.575073621411,10.4360066108445
"123",0,1,1,1,1,0,1,0,265.138605049895,9.31225135332484
"124",0,1,1,1,1,0,1,1,267.415340781167,9.55766553382967
"125",0,1,1,1,1,1,0,0,270.997305822633,9.72872586913663
"126",0,1,1,1,1,1,0,1,273.170046465754,9.95912832557286
"127",0,1,1,1,1,1,1,0,259.995536157454,8.86546872199172
"128",0,1,1,1,1,1,1,1,262.334308304505,9.08587127420672
"129",1,0,0,0,0,0,0,0,268.791417271982,9.48911820052337
"130",1,0,0,0,0,0,0,1,270.801112814081,9.69863661457006
"131",1,0,0,0,0,0,1,0,259.228894358699,8.76428563727744
"132",1,0,0,0,0,0,1,1,261.40844299481,8.97391611004377
"133",1,0,0,0,0,1,0,0,266.473150138797,9.23785416503114
"134",1,0,0,0,0,1,0,1,268.493527633419,9.44765963806872
"135",1,0,0,0,0,1,1,0,256.014704367463,8.49014385338219
"136",1,0,0,0,0,1,1,1,258.231328676927,8.69866316483584
"137",1,0,0,0,1,0,0,0,270.801830880397,9.86214733795618
"138",1,0,0,0,1,0,0,1,272.802943518072,10.095472480206
"139",1,0,0,0,1,0,1,0,261.072492089757,9.07154377421938
"140",1,0,0,0,1,0,1,1,263.279793458134,9.31009132498149
"141",1,0,0,0,1,1,0,0,268.652949648242,9.60167328556752
"142",1,0,0,0,1,1,0,1,270.706532085837,9.83005348084372
"143",1,0,0,0,1,1,1,0,258.189611837989,8.80151294475996
"144",1,0,0,0,1,1,1,1,260.44218839007,9.03075712709628
"145",1,0,0,1,0,0,0,0,270.689833143866,9.82612129737225
"146",1,0,0,1,0,0,0,1,272.651630504464,10.0605749140059
"147",1,0,0,1,0,0,1,0,260.58442367321,9.03064246728559
"148",1,0,0,1,0,0,1,1,262.766659764542,9.27469838764065
"149",1,0,0,1,0,1,0,0,268.652908480471,9.56952963339375
"150",1,0,0,1,0,1,0,1,270.703097582615,9.80129740385964
"151",1,0,0,1,0,1,1,0,258.067763147649,8.78634355884368
"152",1,0,0,1,0,1,1,1,260.310861202723,9.02005953745516
"153",1,0,0,1,1,0,0,0,272.869188461669,10.0062813996428
"154",1,0,0,1,1,0,0,1,274.869207179615,10.2468867376826
"155",1,0,0,1,1,0,1,0,262.798531266208,9.17588072093407
"156",1,0,0,1,1,0,1,1,265.021408957237,9.42574185270441
"157",1,0,0,1,1,1,0,0,270.871894639375,9.74641789661512
"158",1,0,0,1,1,1,0,1,272.961850012401,9.98410149855145
"159",1,0,0,1,1,1,1,0,260.317860412429,8.92805804180352
"160",1,0,0,1,1,1,1,1,262.602630556744,9.16723310340576
"161",1,0,1,0,0,0,0,0,267.769469495836,9.3537684189772
"162",1,0,1,0,0,0,0,1,269.847642055693,9.54038598757876
"163",1,0,1,0,0,0,1,0,257.985079987547,8.61645790271223
"164",1,0,1,0,0,0,1,1,260.203365361167,8.79664673835737
"165",1,0,1,0,0,1,0,0,264.454713849776,9.03835418793177
"166",1,0,1,0,0,1,0,1,266.549803009835,9.22434700293156
"167",1,0,1,0,0,1,1,0,253.59682966125,8.27052813333617
"168",1,0,1,0,0,1,1,1,255.855784002033,8.4462922858003
"169",1,0,1,0,1,0,0,0,269.858216158715,9.73487300329712
"170",1,0,1,0,1,0,0,1,271.941086105243,9.94309134755413
"171",1,0,1,0,1,0,1,0,259.934135850761,8.92978083462043
"172",1,0,1,0,1,0,1,1,262.190759113489,9.136885318409
"173",1,0,1,0,1,1,0,0,266.664529628498,9.40496522139826
"174",1,0,1,0,1,1,0,1,268.806919906314,9.60504327694493
"175",1,0,1,0,1,1,1,0,255.846888470383,8.58431453586463
"176",1,0,1,0,1,1,1,1,258.146928083933,8.77626924509159
"177",1,0,1,1,0,0,0,0,269.741881995677,9.70124407458543
"178",1,0,1,1,0,0,0,1,271.78902356589,9.91017800581511
"179",1,0,1,1,0,0,1,0,259.441280000907,8.88933372112744
"180",1,0,1,1,0,0,1,1,261.68220498964,9.10243993842268
"181",1,0,1,1,0,1,0,0,266.666563611175,9.37440332627214
"182",1,0,1,1,0,1,0,1,268.808534684427,9.57679495209847
"183",1,0,1,1,0,1,1,0,255.762305501547,8.57071922625932
"184",1,0,1,1,0,1,1,1,258.0598650866,8.76706361419465
"185",1,0,1,1,1,0,0,0,271.96049062483,9.88350367159307
"186",1,0,1,1,1,0,0,1,274.047922754252,10.0978146505764
"187",1,0,1,1,1,0,1,0,261.685747244906,9.03631962977067
"188",1,0,1,1,1,0,1,1,263.968578353208,9.25446507428488
"189",1,0,1,1,1,1,0,0,268.922857648744,9.55162694738427
"190",1,0,1,1,1,1,0,1,271.106703296068,9.75900966039266
"191",1,0,1,1,1,1,1,0,258.037768791014,8.7123371463527
"192",1,0,1,1,1,1,1,1,260.377936396515,8.91319272308444
"193",1,1,0,0,0,0,0,0,266.179536360611,9.20971907813659
"194",1,1,0,0,0,0,0,1,268.288208319863,9.37081651573001
"195",1,1,0,0,0,0,1,0,256.349871369463,8.46710663597936
"196",1,1,0,0,0,0,1,1,258.562235586336,8.62669540659082
"197",1,1,0,0,0,1,0,0,266.118631002546,9.16215283816573
"198",1,1,0,0,0,1,0,1,268.237522204277,9.34038406700049
"199",1,1,0,0,0,1,1,0,255.68459801422,8.40107300832385
"200",1,1,0,0,0,1,1,1,257.942351630208,8.5773923084965
"201",1,1,0,0,1,0,0,0,268.268885513295,9.61363386017008
"202",1,1,0,0,1,0,0,1,270.387797820356,9.79502776330638
"203",1,1,0,0,1,0,1,0,258.29889855869,8.79913218390758
"204",1,1,0,0,1,0,1,1,260.557872697365,8.98415250217929
"205",1,1,0,0,1,1,0,0,268.334347926778,9.5506924426426
"206",1,1,0,0,1,1,0,1,270.485407745572,9.74480103365078
"207",1,1,0,0,1,1,1,0,257.880719846058,8.72791021702237
"208",1,1,0,0,1,1,1,1,260.180801463753,8.92291692173636
"209",1,1,0,1,0,0,0,0,268.207146180394,9.57195408903396
"210",1,1,0,1,0,0,0,1,270.303878888671,9.75554908642289
"211",1,1,0,1,0,0,1,0,257.917249682235,8.75938956122221
"212",1,1,0,1,0,0,1,1,260.171575338942,8.95166764506154
"213",1,1,0,1,0,1,0,0,268.334080806933,9.51085006947759
"214",1,1,0,1,0,1,0,1,270.481462464139,9.70707514509011
"215",1,1,0,1,0,1,1,0,257.741398526847,8.70343965154704
"216",1,1,0,1,0,1,1,1,260.03921060303,8.90290705299931
"217",1,1,0,1,1,0,0,0,270.42446261372,9.75682808663717
"218",1,1,0,1,1,0,0,1,272.560450259892,9.94597865189153
"219",1,1,0,1,1,0,1,0,260.173058584036,8.90941719396499
"220",1,1,0,1,1,0,1,1,262.468647260782,9.10662979102243
"221",1,1,0,1,1,1,0,0,270.592573336109,9.69474371040837
"222",1,1,0,1,1,1,0,1,272.780618329081,9.89653736680856
"223",1,1,0,1,1,1,1,0,260.035383042824,8.85096763103978
"224",1,1,0,1,1,1,1,1,262.375581984689,9.05537516911672
"225",1,1,1,0,0,0,0,0,265.625109554682,9.11135460791624
"226",1,1,1,0,0,0,0,1,267.791274617183,9.25591059550286
"227",1,1,1,0,0,0,1,0,255.597144348041,8.36227727518857
"228",1,1,1,0,0,0,1,1,257.840697558687,8.49926335652837
"229",1,1,1,0,0,1,0,0,264.745837178886,9.00293432363814
"230",1,1,1,0,0,1,0,1,266.925074200284,9.16443545204408
"231",1,1,1,0,0,1,1,0,253.941374256057,8.22553159024807
"232",1,1,1,0,0,1,1,1,256.235478356035,8.37686425685222
"233",1,1,1,0,1,0,0,0,267.782912450897,9.51980382268273
"234",1,1,1,0,1,0,0,1,269.968662621179,9.68249974983419
"235",1,1,1,0,1,0,1,0,257.639075341366,8.69741042870343
"236",1,1,1,0,1,0,1,1,259.935957119075,8.85783268226726
"237",1,1,1,0,1,1,0,0,267.002070486307,9.39186670126359
"238",1,1,1,0,1,1,0,1,269.225042074383,9.56563423071254
"239",1,1,1,0,1,1,1,0,256.222465621436,8.55326600136812
"240",1,1,1,0,1,1,1,1,258.561390511722,8.71941743336114
"241",1,1,1,1,0,0,0,0,267.714714252763,9.48164294327104
"242",1,1,1,1,0,0,0,1,269.880222001146,9.6461451696311
"243",1,1,1,1,0,0,1,0,257.248483456195,8.65926287997921
"244",1,1,1,1,0,0,1,1,259.548158437431,8.82721821147163
"245",1,1,1,1,0,1,0,0,267.003152244186,9.35499301755313
"246",1,1,1,1,0,1,0,1,269.224970950361,9.53022810386907
"247",1,1,1,1,0,1,1,0,256.119275670707,8.53259409920865
"248",1,1,1,1,0,1,1,1,258.461388575438,8.7031328364345
"249",1,1,1,1,1,0,0,0,269.97370947313,9.66825579818621
"250",1,1,1,1,1,0,0,1,272.180291530367,9.83766988406869
"251",1,1,1,1,1,0,1,0,259.537677718918,8.81101697342984
"252",1,1,1,1,1,0,1,1,261.879657900356,8.98330001687829
"253",1,1,1,1,1,1,0,0,269.302103253788,9.53872851564001
"254",1,1,1,1,1,1,0,1,271.566530044079,9.71877627678547
"255",1,1,1,1,1,1,1,0,258.442391333726,8.67974630759661
"256",1,1,1,1,1,1,1,1,260.827770677795,8.85447227821907
