"","RSI Chained","Tourism","CPI","IPI","ULC","AICc","RMSE","pVal","RMSE_forecast"
"1",0,0,0,0,0,NA,NA,NA,NA
"2",0,0,0,0,1,598.591944940501,2.10077858868534,0.179135939200791,3.98036958768664
"3",0,0,0,1,0,601.818125042929,2.12758759940891,0.0647987779974334,4.10390552520154
"4",0,0,0,1,1,602.86883088425,2.11205461814871,0.0600390424128449,3.54240194730113
"5",0,0,1,0,0,588.700492509335,2.04117687089997,0.0245239542138461,3.36736675172728
"6",0,0,1,0,1,588.666055488526,2.02065369774191,0.0156650014626363,3.26640452794482
"7",0,0,1,1,0,590.638130080628,2.03826849792525,0.0176307361127283,3.35177204792015
"8",0,0,1,1,1,590.694046962814,2.01802901067333,0.0110353230511618,3.21712061617892
"9",0,1,0,0,0,592.834734421982,2.0837099262847,0.0671593135731514,3.36664527201647
"10",0,1,0,0,1,594.829322959961,2.0811078713689,0.0473375850826004,3.26196544944482
"11",0,1,0,1,0,594.150079583757,2.07709346261635,0.0420779390191487,3.33603172943491
"12",0,1,0,1,1,596.222608777321,2.07491259502663,0.0295204590848794,3.23502711578937
"13",0,1,1,0,0,579.924773536296,1.97120022307213,0.0476934899432045,3.31765058714216
"14",0,1,1,0,1,581.50147705768,1.96514479247776,0.0300202354007266,3.32441453917696
"15",0,1,1,1,0,581.361890261778,1.96572760592659,0.0321901830602366,3.23882475526112
"16",0,1,1,1,1,583.007107809152,1.95979031476748,0.0196718224944356,3.22826729687427
"17",1,0,0,0,0,571.201806742342,1.92797922337307,0.109729681520434,6.3246556972535
"18",1,0,0,0,1,573.258417662301,1.91007332306485,0.0595930152121674,3.79496564944996
"19",1,0,0,1,0,573.399173235503,1.9279731095101,0.0838336554952038,6.32385083697782
"20",1,0,0,1,1,575.491543031337,1.91008231743804,0.0433377830125723,3.79544113307801
"21",1,0,1,0,0,558.041424389366,1.8058263643728,0.0120610511265882,3.23819835323572
"22",1,0,1,0,1,558.790191393879,1.79368033700064,0.00588229470157775,3.314843826618
"23",1,0,1,1,0,560.21472904962,1.80561823841172,0.00859321002746971,3.22063981969653
"24",1,0,1,1,1,560.899126162108,1.79231624731992,0.00387175530725903,3.27224488347501
"25",1,1,0,0,0,568.312901822206,1.89209356908808,0.10878407210722,5.6575438185049
"26",1,1,0,0,1,570.536447304461,1.8920500738064,0.0805800677604133,5.62503981266366
"27",1,1,0,1,0,570.61495854078,1.89277786850966,0.0586671439018214,3.26596241920249
"28",1,1,0,1,1,572.787821127977,1.89172375919244,0.0416743142546714,3.2142494778024
"29",1,1,1,0,0,555.715789007878,1.78240781307143,0.0278814737025451,3.27921074195323
"30",1,1,1,0,1,557.648583423225,1.77931334757831,0.0166716394113076,3.31329323626412
"31",1,1,1,1,0,557.296777434117,1.77832816125977,0.0239629681781002,3.18859359589937
"32",1,1,1,1,1,559.230110232586,1.77477501772669,0.0133229810963227,3.21586695307564
