"","RSI","Tourism","CPI","IPI","ULC","AICc","RMSE","pVal","RMSE_forecast"
"1",0,0,0,0,0,NA,NA,NA,NA
"2",0,0,0,0,1,663.603853368427,2.24127879587859,0.368516036320258,6.60096328630523
"3",0,0,0,1,0,661.742188021036,2.19953596934653,0.507209072340963,6.76035137446836
"4",0,0,0,1,1,665.791402773242,2.24108196820263,0.304358264367664,6.59940553523376
"5",0,0,1,0,0,651.626018079995,2.18036941226122,0.111020101299581,3.74535262532058
"6",0,0,1,0,1,653.110049440851,2.17194324165403,0.0737739140701514,3.68263906741473
"7",0,0,1,1,0,653.800013337088,2.18015736157216,0.0862120111015054,3.75149324132503
"8",0,0,1,1,1,655.322030795253,2.17194236401782,0.0544772614408584,3.68267172015361
"9",0,1,0,0,0,646.893120249392,2.1257104600374,0.70912536275725,5.55905342093088
"10",0,1,0,0,1,649.089740075434,2.12587486867606,0.644895383698623,5.58849047698556
"11",0,1,0,1,0,648.843709541158,2.12384093078999,0.644362236043529,5.51553180259516
"12",0,1,0,1,1,651.054546171102,2.12398386371558,0.571793006905988,5.55956105392348
"13",0,1,1,0,0,658.933517765477,2.21754844733236,0.187175248601408,4.08546227698939
"14",0,1,1,0,1,660.971605802357,2.21632325235015,0.15403616058278,3.99493320091016
"15",0,1,1,1,0,638.591206243306,2.06075194423238,0.332157935480173,3.38681303447496
"16",0,1,1,1,1,640.83524684946,2.06085093100519,0.274393044923058,3.384845060575
"17",1,0,0,0,0,613.296203063779,1.89598086117668,0.525858499618847,5.71548917934083
"18",1,0,0,0,1,614.984912647765,1.89317102645232,0.437975196071156,5.54465700340766
"19",1,0,0,1,0,615.500933771979,1.89545114727482,0.482800220585922,5.7238630792257
"20",1,0,0,1,1,617.237444007377,1.89280788272125,0.390615888899073,5.55138991716407
"21",1,0,1,0,0,603.823217465922,1.80693793597242,0.148786047988383,3.18563739435492
"22",1,0,1,0,1,604.126208541899,1.79522602944321,0.071869845036558,3.36698874161539
"23",1,0,1,1,0,606.141376952228,1.80676795360158,0.119329327291104,3.16292804852335
"24",1,0,1,1,1,606.248420620561,1.81466349628105,0.0394517735136289,3.30946446531735
"25",1,1,0,0,0,610.928622677916,1.86716540691249,0.475676674426615,4.81599560493106
"26",1,1,0,0,1,613.073543460185,1.86642649656834,0.400072110664288,4.77396338415747
"27",1,1,0,1,0,612.09206534172,1.89529411884144,0.266871525914167,4.73316485449109
"28",1,1,0,1,1,615.188468395779,1.86502403366472,0.361609854600438,4.75955252659327
"29",1,1,1,0,0,598.797567033147,1.81389892420445,0.215129001362503,3.33412346783128
"30",1,1,1,0,1,600.193349995417,1.80908758218615,0.129458861299899,3.42504083522475
"31",1,1,1,1,0,600.284888816038,1.80935948460946,0.199958539253416,3.20869738412226
"32",1,1,1,1,1,601.618151091179,1.80405900450861,0.113642405600799,3.29345079805919
