month,level_1,level_2,value
1988-06,Total,Food Caterers,na
1988-06,Total,Other Eating Places,50.1
1988-07,Total,Restaurants,40.8
1988-07,Total,Fast Food Outlets,24.3
1988-07,Total,Food Caterers,na
1988-07,Total,Other Eating Places,49.6
1988-08,Total,Restaurants,39.4
1988-08,Total,Fast Food Outlets,22.8
1988-08,Total,Food Caterers,na
1988-08,Total,Other Eating Places,49.9
1988-09,Total,Restaurants,41.2
1988-09,Total,Fast Food Outlets,21.9
1988-09,Total,Food Caterers,na
1988-09,Total,Other Eating Places,49.5
1988-10,Total,Restaurants,44.8
1988-10,Total,Fast Food Outlets,24.3
1988-10,Total,Food Caterers,na
1988-10,Total,Other Eating Places,51.8
1988-11,Total,Restaurants,45.5
1988-11,Total,Fast Food Outlets,24.7
1988-11,Total,Food Caterers,na
1988-11,Total,Other Eating Places,52
1988-12,Total,Restaurants,50.3
1988-12,Total,Fast Food Outlets,30.7
1988-12,Total,Food Caterers,na
1988-12,Total,Other Eating Places,55.8
1989-01,Total,Restaurants,45.1
1989-01,Total,Fast Food Outlets,24.9
1989-01,Total,Food Caterers,na
1989-01,Total,Other Eating Places,50.7
1989-02,Total,Restaurants,45.7
1989-02,Total,Fast Food Outlets,25.3
1989-02,Total,Food Caterers,na
1989-02,Total,Other Eating Places,46.1
1989-03,Total,Restaurants,46.1
1989-03,Total,Fast Food Outlets,27.2
1989-03,Total,Food Caterers,na
1989-03,Total,Other Eating Places,53.9
1989-04,Total,Restaurants,44.6
1989-04,Total,Fast Food Outlets,24.3
1989-04,Total,Food Caterers,na
1989-04,Total,Other Eating Places,52.4
1989-05,Total,Restaurants,46.2
1989-05,Total,Fast Food Outlets,25.7
1989-05,Total,Food Caterers,na
1989-05,Total,Other Eating Places,54.7
1989-06,Total,Restaurants,43.7
1989-06,Total,Fast Food Outlets,27
1989-06,Total,Food Caterers,na
1989-06,Total,Other Eating Places,54.8
1989-07,Total,Restaurants,46.4
1989-07,Total,Fast Food Outlets,28.3
1989-07,Total,Food Caterers,na
1989-07,Total,Other Eating Places,56.2
1989-08,Total,Restaurants,45.5
1989-08,Total,Fast Food Outlets,27.2
1989-08,Total,Food Caterers,na
1989-08,Total,Other Eating Places,55.5
1989-09,Total,Restaurants,50.7
1989-09,Total,Fast Food Outlets,26.8
1989-09,Total,Food Caterers,na
1989-09,Total,Other Eating Places,56.4
1989-10,Total,Restaurants,49.4
1989-10,Total,Fast Food Outlets,26.8
1989-10,Total,Food Caterers,na
1989-10,Total,Other Eating Places,57.8
1989-11,Total,Restaurants,51.1
1989-11,Total,Fast Food Outlets,28.3
1989-11,Total,Food Caterers,na
1989-11,Total,Other Eating Places,57.9
1989-12,Total,Restaurants,56.3
1989-12,Total,Fast Food Outlets,34.1
1989-12,Total,Food Caterers,na
1989-12,Total,Other Eating Places,62
1990-01,Total,Restaurants,50.4
1990-01,Total,Fast Food Outlets,29.4
1990-01,Total,Food Caterers,na
1990-01,Total,Other Eating Places,57
1990-02,Total,Restaurants,50.8
1990-02,Total,Fast Food Outlets,25.5
1990-02,Total,Food Caterers,na
1990-02,Total,Other Eating Places,53.1
1990-03,Total,Restaurants,52.1
1990-03,Total,Fast Food Outlets,31.3
1990-03,Total,Food Caterers,na
1990-03,Total,Other Eating Places,57.8
1990-04,Total,Restaurants,47.3
1990-04,Total,Fast Food Outlets,29.6
1990-04,Total,Food Caterers,na
1990-04,Total,Other Eating Places,56.7
1990-05,Total,Restaurants,51.6
1990-05,Total,Fast Food Outlets,31.3
1990-05,Total,Food Caterers,na
1990-05,Total,Other Eating Places,59.1
1990-06,Total,Restaurants,47.7
1990-06,Total,Fast Food Outlets,33.8
1990-06,Total,Food Caterers,na
1990-06,Total,Other Eating Places,58.7
1990-07,Total,Restaurants,47.3
1990-07,Total,Fast Food Outlets,31
1990-07,Total,Food Caterers,na
1990-07,Total,Other Eating Places,59.8
1990-08,Total,Restaurants,49.8
1990-08,Total,Fast Food Outlets,31.9
1990-08,Total,Food Caterers,na
1990-08,Total,Other Eating Places,58.4
1990-09,Total,Restaurants,50.1
1990-09,Total,Fast Food Outlets,29.9
1990-09,Total,Food Caterers,na
1990-09,Total,Other Eating Places,57.4
1990-10,Total,Restaurants,53
1990-10,Total,Fast Food Outlets,30.5
1990-10,Total,Food Caterers,na
1990-10,Total,Other Eating Places,59.2
1990-11,Total,Restaurants,55.4
1990-11,Total,Fast Food Outlets,32.6
1990-11,Total,Food Caterers,na
1990-11,Total,Other Eating Places,60.8
1990-12,Total,Restaurants,60.5
1990-12,Total,Fast Food Outlets,37.8
1990-12,Total,Food Caterers,na
1990-12,Total,Other Eating Places,64.4
1991-01,Total,Restaurants,48.9
1991-01,Total,Fast Food Outlets,28.6
1991-01,Total,Food Caterers,na
1991-01,Total,Other Eating Places,59.9
1991-02,Total,Restaurants,48
1991-02,Total,Fast Food Outlets,29.5
1991-02,Total,Food Caterers,na
1991-02,Total,Other Eating Places,52.9
1991-03,Total,Restaurants,48.9
1991-03,Total,Fast Food Outlets,33.3
1991-03,Total,Food Caterers,na
1991-03,Total,Other Eating Places,58.9
1991-04,Total,Restaurants,48.6
1991-04,Total,Fast Food Outlets,31
1991-04,Total,Food Caterers,na
1991-04,Total,Other Eating Places,58.2
1991-05,Total,Restaurants,51.8
1991-05,Total,Fast Food Outlets,32.8
1991-05,Total,Food Caterers,na
1991-05,Total,Other Eating Places,62.2
1991-06,Total,Restaurants,52.9
1991-06,Total,Fast Food Outlets,38.3
1991-06,Total,Food Caterers,na
1991-06,Total,Other Eating Places,62.6
1991-07,Total,Restaurants,50.8
1991-07,Total,Fast Food Outlets,32.1
1991-07,Total,Food Caterers,na
1991-07,Total,Other Eating Places,62.4
1991-08,Total,Restaurants,51.1
1991-08,Total,Fast Food Outlets,34.4
1991-08,Total,Food Caterers,na
1991-08,Total,Other Eating Places,63.6
1991-09,Total,Restaurants,55.2
